Date,Adj Close
3/31/1993,1.19
4/1/1993,1.21
5/3/1993,1.5
6/1/1993,1.53
7/1/1993,1.48
8/2/1993,1.52
9/1/1993,1.71
10/1/1993,1.67
11/1/1993,1.39
12/1/1993,1.39
1/3/1994,1.5
2/1/1994,1.45
3/1/1994,1.52
4/4/1994,1.86
5/2/1994,1.78
6/1/1994,1.58
7/1/1994,1.81
8/1/1994,1.77
9/1/1994,1.44
10/3/1994,1.7
11/1/1994,1.68
12/1/1994,1.72
1/3/1995,1.5
2/1/1995,1.49
3/1/1995,1.5
4/3/1995,1.47
5/1/1995,1.82
6/1/1995,2.23
7/3/1995,2.34
8/1/1995,2.5
9/1/1995,2.37
10/2/1995,2.45
11/1/1995,2.64
12/1/1995,2.62
1/2/1996,2.09
2/1/1996,2.2
3/1/1996,2.91
4/1/1996,3.39
5/1/1996,3.39
6/3/1996,3.53
7/1/1996,3.25
8/1/1996,4.09
9/3/1996,4.12
10/1/1996,4.06
11/1/1996,4.33
12/2/1996,3.58
1/2/1997,4.28
2/3/1997,4.2
3/3/1997,3.7
4/1/1997,3.73
5/1/1997,3.94
6/2/1997,4.87
7/1/1997,5.12
8/1/1997,5.12
9/2/1997,5.23
10/1/1997,4.12
11/3/1997,4.36
12/1/1997,4.8
1/2/1998,4.57
2/2/1998,4.95
3/2/1998,5.66
4/1/1998,6.02
5/1/1998,6
6/1/1998,6.68
7/1/1998,5.24
8/3/1998,3.94
9/1/1998,4.52
10/1/1998,5.42
11/2/1998,5.77
12/1/1998,7.02
1/4/1999,6.51
2/1/1999,6.61
3/1/1999,7.01
4/1/1999,9.23
5/3/1999,9.22
6/1/1999,9.39
7/1/1999,5.81
8/2/1999,5.72
9/1/1999,6.2
10/1/1999,6.8
11/1/1999,6.64
12/1/1999,6.06
1/3/2000,8
2/1/2000,8.78
3/1/2000,11.2
4/3/2000,7.56
5/1/2000,8.5
6/1/2000,9.55
7/3/2000,9.38
8/1/2000,9.16
9/1/2000,10.02
10/2/2000,11.17
11/1/2000,11.39
12/1/2000,11.06
1/2/2001,12.48
2/1/2001,11.91
3/1/2001,10.61
4/2/2001,9.68
5/1/2001,9.76
6/1/2001,11.5
7/2/2001,9.02
8/1/2001,8.44
9/4/2001,7.47
10/1/2001,8.56
11/1/2001,8.86
12/3/2001,9.52
1/2/2002,11.89
2/4/2002,11.51
3/1/2002,11.56
4/1/2002,11.41
5/1/2002,12.14
6/3/2002,12.43
7/1/2002,9.81
8/1/2002,10.05
9/3/2002,10.33
10/1/2002,11.92
11/1/2002,10.87
12/2/2002,10.19
1/2/2003,11.36
2/3/2003,11.73
3/3/2003,12.88
4/1/2003,11.76
5/1/2003,12.34
6/2/2003,12.27
7/1/2003,13.66
8/1/2003,14.19
9/2/2003,14.4
10/1/2003,15.8
11/3/2003,16.08
12/1/2003,16.58
1/2/2004,18.31
2/2/2004,18.7
3/1/2004,18.93
4/1/2004,19.46
5/3/2004,20.3
6/1/2004,21.75
7/1/2004,23.5
8/2/2004,21.62
9/1/2004,22.73
10/1/2004,26.44
11/1/2004,28.13
12/1/2004,31.18
1/3/2005,27
2/1/2005,25.91
3/1/2005,25.83
4/1/2005,24.76
5/2/2005,27.4
6/1/2005,25.83
7/1/2005,26.27
8/1/2005,24.51
9/1/2005,25.05
10/3/2005,28.28
11/1/2005,30.45
12/1/2005,30.01
1/3/2006,31.7
2/1/2006,36.32
3/1/2006,37.63
4/3/2006,37.27
5/1/2006,35.65
6/1/2006,37.76
7/3/2006,34.23
8/1/2006,31.01
9/1/2006,34.05
10/2/2006,37.75
11/1/2006,35.29
12/1/2006,35.42
1/3/2007,34.94
2/1/2007,30.9
3/1/2007,31.36
4/2/2007,31.02
5/1/2007,28.81
6/1/2007,26.24
7/2/2007,26.68
8/1/2007,27.55
9/4/2007,26.2
10/1/2007,26.68
11/1/2007,23.39
12/3/2007,20.47
1/2/2008,18.91
2/1/2008,17.98
3/3/2008,17.5